number_global,team_slot,code,type,category,section,group,team,countryCode,name,player,position,notes,sourceUrl,statusCadastro
18,18,MEX-018,NORMAL,jogador,Seleções,Grupo A,México,MEX,Alexis Vega,Alexis Vega,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
19,19,MEX-019,NORMAL,jogador,Seleções,Grupo A,México,MEX,Roberto Alvarado,Roberto Alvarado,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
20,20,MEX-020,NORMAL,jogador,Seleções,Grupo A,México,MEX,César Huerta,César Huerta,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
21,1,RSA-001,SHINY,escudo_do_time,Seleções,Grupo A,África do Sul,RSA,Escudo do África do Sul,,,Escudo do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
22,2,RSA-002,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Thalente Mbatha,Thalente Mbatha,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
23,3,RSA-003,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Ronwen Williams,Ronwen Williams,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
24,4,RSA-004,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Sipho Chaine,Sipho Chaine,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
25,5,RSA-005,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Aubrey Modiba,Aubrey Modiba,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
26,6,RSA-006,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Samukele Kabini,Samukele Kabini,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
27,7,RSA-007,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Mbekezeli Mbokazi,Mbekezeli Mbokazi,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
28,8,RSA-008,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Khulumani Ndamane,Khulumani Ndamane,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
29,9,RSA-009,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Siyabonga Ngezana,Siyabonga Ngezana,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
30,10,RSA-010,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Khuliso Mudau,Khuliso Mudau,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
31,11,RSA-011,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Nkosinathi Sibisi,Nkosinathi Sibisi,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
32,12,RSA-012,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Teboho Mokoena,Teboho Mokoena,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
33,13,RSA-013,NORMAL,foto_do_time,Seleções,Grupo A,África do Sul,RSA,Foto oficial do África do Sul,,,Foto do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
34,14,RSA-014,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Bathuisi Aubaas,Bathuisi Aubaas,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
35,15,RSA-015,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Yaya Sithole,Yaya Sithole,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
36,16,RSA-016,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Sipho Mbule,Sipho Mbule,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
37,17,RSA-017,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Lyle Foster,Lyle Foster,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
38,18,RSA-018,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Ioraam Rayners,Ioraam Rayners,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
39,19,RSA-019,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Mohau Nkota,Mohau Nkota,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
40,20,RSA-020,NORMAL,jogador,Seleções,Grupo A,África do Sul,RSA,Oswin Appolis,Oswin Appolis,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
41,1,KOR-001,SHINY,escudo_do_time,Seleções,Grupo A,Coreia do Sul,KOR,Escudo do Coreia do Sul,,,Escudo do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
42,2,KOR-002,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Kang-in Lee,Kang-in Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
43,3,KOR-003,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Hyeon-woo Jo,Hyeon-woo Jo,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
44,4,KOR-004,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Seung-Gyu Kim,Seung-Gyu Kim,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
45,5,KOR-005,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Min-jae Kim,Min-jae Kim,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
46,6,KOR-006,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Yu-min Cho,Yu-min Cho,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
47,7,KOR-007,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Young-woo Seol,Young-woo Seol,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
48,8,KOR-008,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Han-beom Lee,Han-beom Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
49,9,KOR-009,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Tae-seok Lee,Tae-seok Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
50,10,KOR-010,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Myung-jae Lee,Myung-jae Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
51,11,KOR-011,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Jae-sung Lee,Jae-sung Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
52,12,KOR-012,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,In-beom Hwang,In-beom Hwang,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
53,13,KOR-013,NORMAL,foto_do_time,Seleções,Grupo A,Coreia do Sul,KOR,Foto oficial do Coreia do Sul,,,Foto do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
54,14,KOR-014,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Seung-ho Paik,Seung-ho Paik,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
55,15,KOR-015,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Jens Castrop,Jens Castrop,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
56,16,KOR-016,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Dong-gyeong Lee,Dong-gyeong Lee,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
57,17,KOR-017,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Gue-sung Cho,Gue-sung Cho,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
58,18,KOR-018,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Heung-min Son,Heung-min Son,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
59,19,KOR-019,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Hee-chan Hwang,Hee-chan Hwang,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
60,20,KOR-020,NORMAL,jogador,Seleções,Grupo A,Coreia do Sul,KOR,Hyeon-Gyu Oh,Hyeon-Gyu Oh,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
61,1,CZE-001,SHINY,escudo_do_time,Seleções,Grupo A,República Tcheca,CZE,Escudo do República Tcheca,,,Escudo do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
62,2,CZE-002,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Tomáš Souček,Tomáš Souček,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
63,3,CZE-003,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Matěj Kovář,Matěj Kovář,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
64,4,CZE-004,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Jindřich Staněk,Jindřich Staněk,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
65,5,CZE-005,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Ladislav Krejčí,Ladislav Krejčí,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
66,6,CZE-006,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Vladimír Coufal,Vladimír Coufal,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
67,7,CZE-007,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Jaroslav Zelený,Jaroslav Zelený,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
68,8,CZE-008,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Tomáš Holeš,Tomáš Holeš,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
69,9,CZE-009,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,David Zima,David Zima,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
70,10,CZE-010,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Michal Sadílek,Michal Sadílek,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
71,11,CZE-011,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Lukáš Provod,Lukáš Provod,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
72,12,CZE-012,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Lukáš Červ,Lukáš Červ,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
73,13,CZE-013,NORMAL,foto_do_time,Seleções,Grupo A,República Tcheca,CZE,Foto oficial do República Tcheca,,,Foto do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
74,14,CZE-014,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Pavel Šulc,Pavel Šulc,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
75,15,CZE-015,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Matěj Vydra,Matěj Vydra,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
76,16,CZE-016,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Vasil Kušej,Vasil Kušej,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
77,17,CZE-017,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Tomáš Chorý,Tomáš Chorý,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
78,18,CZE-018,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Václav Černý,Václav Černý,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
79,19,CZE-019,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Adam Hložek,Adam Hložek,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
80,20,CZE-020,NORMAL,jogador,Seleções,Grupo A,República Tcheca,CZE,Patrik Schick,Patrik Schick,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
81,1,CAN-001,SHINY,escudo_do_time,Seleções,Grupo B,Canadá,CAN,Escudo do Canadá,,,Escudo do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
82,2,CAN-002,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Jonathan Osorio,Jonathan Osorio,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
83,3,CAN-003,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Dayne St. Clair,Dayne St. Clair,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
84,4,CAN-004,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Alphonso Davies,Alphonso Davies,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
85,5,CAN-005,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Alistair Johnston,Alistair Johnston,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
86,6,CAN-006,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Samuel Adekugbe,Samuel Adekugbe,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
87,7,CAN-007,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Richie Laryea,Richie Laryea,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
88,8,CAN-008,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Derek Cornelius,Derek Cornelius,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
89,9,CAN-009,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Moïse Bombito,Moïse Bombito,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
90,10,CAN-010,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Kamal Miller,Kamal Miller,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
91,11,CAN-011,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Stephen Eustáquio,Stephen Eustáquio,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
92,12,CAN-012,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Ismaël Koné,Ismaël Koné,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
93,13,CAN-013,NORMAL,foto_do_time,Seleções,Grupo B,Canadá,CAN,Foto oficial do Canadá,,,Foto do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
94,14,CAN-014,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Jacob Shaffelburg,Jacob Shaffelburg,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
95,15,CAN-015,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Mathieu Choinière,Mathieu Choinière,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
96,16,CAN-016,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Niko Sigur,Niko Sigur,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
97,17,CAN-017,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Tajon Buchanan,Tajon Buchanan,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
98,18,CAN-018,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Liam Millar,Liam Millar,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
99,19,CAN-019,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Cyle Larin,Cyle Larin,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
100,20,CAN-020,NORMAL,jogador,Seleções,Grupo B,Canadá,CAN,Jonathan David,Jonathan David,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
